backend,eps_seg,eps_scale,eps_print,total_err
SAM,-0.04768,-0.040489,0.008047,-0.078885
SAM,-0.123378,0.054027,0.006315,-0.070182
SAM,-0.046665,0.010019,0.00634,-0.031008
SAM,-0.03495,0.114367,0.007526,0.083513
SAM,-0.001231,-0.026183,0.008575,-0.019042
SAM,-0.064011,0.001126,0.007997,-0.055463
SAM,-0.025556,0.041481,0.006002,0.020956
SAM,-0.144467,-0.069166,0.006608,-0.198378
SAM,-0.173381,0.047275,0.006083,-0.129037
SAM,-0.066542,-0.02099,0.008369,-0.078487
SAM,-0.038329,-0.023114,0.007324,-0.053677
SAM,-0.00767,0.015896,0.005898,0.014051
SAM,-0.150138,0.014185,0.006463,-0.132513
SAM,-0.001231,0.044966,0.005956,0.049895
SAM,-0.150138,-0.083533,0.0065,-0.216067
SAM,-0.041825,-0.045678,0.007467,-0.078765
SAM,-0.144467,-0.08437,0.00628,-0.211729
SAM,0.102057,0.087845,0.006993,0.207251
SAM,-0.125471,-0.053285,0.00721,-0.166102
SAM,-0.048405,-0.12936,0.00499,-0.16737
SAM,-0.072339,0.027141,0.005196,-0.042211
SAM,-0.052353,-0.064122,0.006421,-0.107424
SAM,-0.071798,-0.029347,0.006009,-0.093624
SAM,-0.021862,-0.065358,0.007312,-0.079107
SAM,-0.106383,-0.06679,0.006553,-0.160603
SAM,-0.123378,-0.014972,0.007617,-0.129926
SAM,0.036168,-0.031696,0.0074,0.010751
SAM,-0.015152,0.100584,0.007761,0.09232
SAM,-0.11141,0.018841,0.006372,-0.0889
SAM,-0.106383,-0.110625,0.00668,-0.199931
SAM,-0.021862,-0.037924,0.008908,-0.050575
SAM,-0.036121,0.008124,0.005852,-0.022604
SAM,-0.150138,0.213938,0.007568,0.039488
SAM,-0.001231,0.146458,0.007911,0.154105
SAM,-0.017076,0.04144,0.007374,0.031205
SAM,-0.053663,0.082998,0.007795,0.032869
SAM,-0.027891,-0.011498,0.0069,-0.032437
SAM,-0.037154,-0.087702,0.007383,-0.115112
SAM,-0.054398,0.124973,0.007122,0.071353
SAM,-0.164201,0.016025,0.005492,-0.146143
SAM,-0.054398,-0.019936,0.006682,-0.067057
SAM,-0.025556,-0.193979,0.005381,-0.210352
SAM,-0.109538,-0.002956,0.007532,-0.105483
SAM,-0.041825,-0.078023,0.007123,-0.110292
SAM,-0.032337,0.021864,0.007853,-0.003415
SAM,-0.0405,0.057757,0.005762,0.020767
SAM,-0.033564,0.009607,0.006999,-0.01745
SAM,-0.065288,0.120453,0.007033,0.054666
SAM,-0.041825,0.027355,0.008912,-0.006841
SAM,-0.173381,-0.130961,0.006706,-0.276818
SAM,-0.002587,-0.007402,0.006349,-0.003685
SAM,-0.017076,0.116376,0.006932,0.10492
SAM,-0.085325,-0.066695,0.008552,-0.139029
SAM,-0.036595,0.035112,0.007758,0.004969
SAM,-0.025556,0.036989,0.007553,0.018119
SAM,-0.132492,0.011966,0.006667,-0.116259
SAM,-0.041818,-0.011261,0.00668,-0.04628
SAM,-0.012668,0.116968,0.008392,0.112073
SAM,-0.089346,-0.062171,0.006481,-0.140427
SAM,0.011764,0.047385,0.006402,0.066491
SAM,-0.064011,-0.096858,0.005221,-0.150256
SAM,0.107229,-0.003401,0.005343,0.109358
SAM,0.00676,-0.06809,0.008037,-0.05425
SAM,-0.055397,0.04731,0.004874,-0.005885
SAM,-0.050451,-0.063344,0.00851,-0.10303
SAM,-0.025556,0.076651,0.006644,0.056106
SAM,-0.050174,0.035976,0.007269,-0.00885
SAM,-0.175474,0.045965,0.007962,-0.130708
SAM,-0.132492,0.131283,0.006297,-0.012423
SAM,-0.052353,0.024513,0.007499,-0.021842
SAM,-0.101556,-0.030075,0.005876,-0.123456
SAM,-0.116245,0.025802,0.006259,-0.087768
SAM,-0.065288,-0.077451,0.007338,-0.131355
SAM,-0.107166,0.022605,0.007317,-0.080303
SAM,-0.052353,0.013851,0.007261,-0.032251
SAM,-0.123378,0.048634,0.008377,-0.073043
SAM,-0.055397,-0.074204,0.006823,-0.119524
SAM,-0.135385,0.131389,0.008508,-0.013461
SAM,-0.109538,0.103074,0.00696,-0.010918
SAM,0.026037,-0.047434,0.007503,-0.015299
SAM,0.011764,-0.087322,0.007633,-0.069536
SAM,-0.150138,0.058684,0.006395,-0.094511
SAM,-0.021919,-0.048826,0.00711,-0.063059
SAM,-0.11315,-0.03687,0.005448,-0.141195
SAM,-0.050174,-0.106209,0.007008,-0.145104
SAM,-0.101556,-0.051021,0.00697,-0.141453
SAM,-0.064611,0.035701,0.007438,-0.024011
SAM,-0.044151,-0.018527,0.006776,-0.055503
SAM,0.011764,0.014243,0.008685,0.035088
SAM,-0.116245,-0.087848,0.005202,-0.189688
SAM,-0.070033,0.062031,0.005725,-0.006692
SAM,0.057162,-0.005367,0.005943,0.057737
SAM,-0.048405,0.034372,0.00686,-0.008945
SAM,-0.026949,0.038019,0.006121,0.016227
SAM,-0.09715,0.046343,0.005728,-0.049898
SAM,-0.012668,-0.00259,0.006396,-0.008927
SAM,-0.041825,-0.081418,0.005427,-0.115061
SAM,0.036168,0.043064,0.007263,0.08864
SAM,0.01377,-0.044437,0.007207,-0.024298
SAM,-0.094247,0.003224,0.005631,-0.086211
SAM,-0.022592,-0.040837,0.007771,-0.055221
SAM,-0.05662,0.054648,0.005566,0.000471
SAM,-0.00767,0.004702,0.00636,0.003338
SAM,-0.106383,0.01605,0.007126,-0.085571
SAM,0.066421,-0.108054,0.006965,-0.042185
SAM,-0.122843,0.013166,0.005337,-0.106551
SAM,-0.089261,-0.028152,0.007345,-0.108398
SAM,-0.164201,0.001666,0.006852,-0.157071
SAM,-0.09758,0.106795,0.008794,0.007578
SAM,-0.033564,0.069566,0.007495,0.041415
SAM,-0.0405,0.014172,0.008371,-0.018756
SAM,-0.050451,0.031192,0.005957,-0.015
SAM,-0.033571,-0.020835,0.005322,-0.04867
SAM,-0.050451,0.048173,0.008226,0.003479
SAM,-0.051397,-0.012693,0.007248,-0.05665
SAM,-0.038329,0.100716,0.008728,0.067766
SAM,-0.144467,-0.044981,0.008025,-0.176393
SAM,-0.106717,0.05147,0.007968,-0.053256
SAM,-0.089346,0.018035,0.007356,-0.066103
SAM,-0.094064,0.022083,0.006043,-0.068462
SAM,-0.041818,-0.055463,0.005889,-0.089632
SAM,-0.053663,0.066475,0.004873,0.014164
SAM,0.020936,-0.03236,0.006376,-0.005802
SAM,-0.11315,-0.015252,0.00689,-0.12066
SAM,-0.089346,-0.036261,0.0068,-0.1164
SAM,-0.099502,-0.113506,0.006917,-0.196193
SAM,-0.000619,0.088478,0.004771,0.092995
SAM,-0.051397,-0.008477,0.007098,-0.052763
SAM,0.046176,-0.094208,0.008429,-0.044394
SAM,-0.05662,0.076874,0.006104,0.022102
SAM,-0.021862,0.020086,0.005466,0.003238
SAM,-0.146034,0.06663,0.005326,-0.084282
SAM,-0.197629,0.042637,0.006267,-0.158175
SAM,-0.173381,0.012783,0.006523,-0.157352
SAM,-0.089346,0.107018,0.007087,0.015255
SAM,-0.101556,0.090469,0.007668,-0.012763
SAM,-0.048405,0.078455,0.005931,0.032339
SAM,-0.10828,-0.064181,0.006378,-0.16019
SAM,-0.028571,0.054057,0.005255,0.029322
SAM,-0.04768,-0.018736,0.007465,-0.058547
SAM,-0.050174,-0.071433,0.006504,-0.112287
SAM,-0.033571,-0.059564,0.006653,-0.085088
SAM,-0.027645,0.123415,0.008196,0.101311
SAM,0.046176,0.072874,0.006994,0.130265
SAM,-0.082474,-0.038924,0.008582,-0.11062
SAM,-0.032724,-0.109372,0.007635,-0.131939
SAM,0.007933,0.085394,0.006459,0.10107
SAM,-0.03495,0.062534,0.005772,0.031316
SAM,-0.038329,0.069782,0.006728,0.035701
SAM,-0.027891,-0.049056,0.007908,-0.068268
SAM,-0.067197,-0.036585,0.005498,-0.096383
SAM,-0.04768,-0.014231,0.006283,-0.055335
SAM,0.01377,-0.0263,0.006057,-0.006913
SAM,-0.032723,0.059497,0.006467,0.031455
SAM,-0.047561,0.046505,0.007288,0.003996
SAM,0.084014,-0.152611,0.007089,-0.074907
SAM,-0.125471,0.034882,0.007069,-0.088568
SAM,0.026037,0.024018,0.005498,0.056457
SAM,-0.101556,0.157304,0.007603,0.047678
SAM,-0.10828,0.05285,0.007891,-0.053745
SAM,-0.089346,-0.135365,0.006655,-0.207377
SAM,-0.038415,-0.004852,0.006,-0.03734
SAM,-0.132492,0.035268,0.007711,-0.094972
SAM,-0.049095,0.086037,0.008234,0.041221
SAM,-0.064011,0.042585,0.007275,-0.017053
SAM,-0.041818,-0.023556,0.006171,-0.058616
SAM,-0.106383,-0.027216,0.005837,-0.12563
SAM,-0.028571,0.162802,0.007465,0.138011
SAM,-0.036595,0.00162,0.005334,-0.029887
SAM,0.020936,0.005612,0.005503,0.032315
SAM,-0.05575,0.056895,0.00711,0.005069
SAM,-0.117899,0.090326,0.008469,-0.030078
SAM,-0.079309,0.049081,0.008049,-0.026346
SAM,-0.099502,0.117158,0.00728,0.013322
SAM,-0.036121,0.034813,0.004811,0.002232
SAM,-0.00237,-0.072012,0.004443,-0.070097
SAM,-0.09715,0.108485,0.006726,0.007527
SAM,-0.012449,-0.064955,0.008665,-0.068595
SAM,-0.033092,-0.049971,0.006008,-0.075891
SAM,-0.144467,-0.034793,0.007762,-0.167824
SAM,-0.118554,0.024825,0.007209,-0.09016
SAM,-0.029976,-0.008166,0.006326,-0.031811
SAM,-0.048405,-0.023349,0.006489,-0.064594
SAM,-0.175474,0.01277,0.005216,-0.160589
SAM,-0.037154,-0.062614,0.00734,-0.090817
SAM,-0.09715,-0.090832,0.006245,-0.174032
SAM,-0.00767,0.017432,0.007749,0.017452
SAM,-0.056492,-0.069202,0.006675,-0.115923
SAM,-0.065288,-0.084383,0.006604,-0.13851
SAM,-0.08695,-0.080672,0.004786,-0.156591
SAM,-0.075948,0.126943,0.007188,0.048839
SAM,-0.056492,-0.012261,0.007411,-0.061155
SAM,-0.044888,0.018989,0.008159,-0.01881
SAM,-0.056492,0.016459,0.006055,-0.035156
SAM,-0.015152,-0.040862,0.007165,-0.048627
SAM,-0.099502,0.042487,0.0073,-0.05439
SAM,-0.089261,-0.047996,0.005624,-0.128096
SAM,-0.028571,0.017782,0.006274,-0.005095
SAM,-0.05662,-0.050388,0.005713,-0.099037
SAM,-0.046665,-0.129696,0.005797,-0.165499
SAM,-0.11141,0.051572,0.006504,-0.059506
SAM,-0.050174,0.011725,0.006208,-0.033072
SAM,-0.135385,0.053402,0.006883,-0.082944
SAM,-0.038415,0.006417,0.007527,-0.024961
SAM,-0.063113,0.009716,0.007492,-0.046923
SAM,-0.065288,-0.0454,0.007687,-0.100866
SAM,-0.032337,-0.021195,0.006634,-0.046563
SAM,-0.08695,0.022375,0.006385,-0.06056
SAM,0.102057,-0.055474,0.005669,0.046822
SAM,-0.054398,0.092791,0.0076,0.041199
SAM,-0.02982,0.030484,0.007876,0.007629
SAM,-0.012449,0.044802,0.008153,0.040208
SAM,-0.009372,0.057267,0.007214,0.054913
SAM,-0.125471,-0.07299,0.006433,-0.184088
SAM,0.065668,-0.02427,0.005814,0.045849
SAM,-0.027645,0.081389,0.00556,0.05734
SAM,-0.09758,0.182669,0.004938,0.072535
SAM,-0.049095,0.070225,0.007928,0.025751
SAM,-0.056492,-0.034341,0.007282,-0.082258
SAM,-0.158656,-0.009894,0.009236,-0.159287
SAM,-0.08695,0.032888,0.006779,-0.050529
SAM,0.011764,-0.078124,0.006957,-0.06079
SAM,-0.021862,-0.014824,0.007262,-0.029364
SAM,-0.065932,-0.000827,0.007498,-0.059707
SAM,-0.025556,0.091893,0.006225,0.070611
SAM,-0.060336,0.109096,0.006858,0.049325
SAM,-0.029976,-0.003103,0.007671,-0.025568
SAM,-0.17337,-0.022057,0.00849,-0.184739
SAM,0.046176,-0.030512,0.005985,0.020326
SAM,-0.132492,-0.101115,0.007095,-0.214677
SAM,-0.047007,0.037885,0.006992,-0.003987
SAM,-0.046665,0.033223,0.006623,-0.008468
SAM,-0.067197,-0.013915,0.007911,-0.072901
SAM,-0.037154,0.105597,0.00918,0.074292
SAM,-0.150138,-0.013226,0.007266,-0.155285
SAM,-0.066542,0.061474,0.006119,-0.003096
SAM,-0.175474,-0.041447,0.005474,-0.205321
SAM,-0.101556,-0.119706,0.006826,-0.203706
SAM,-0.012449,-0.135465,0.007844,-0.139531
SAM,0.00676,0.053236,0.006692,0.067452
SAM,0.011764,0.006852,0.007159,0.02599
SAM,0.084014,0.037659,0.008854,0.134797
SAM,0.046176,-0.173448,0.007548,-0.128754
SAM,-0.002587,0.073734,0.006957,0.078406
SAM,0.00676,0.011127,0.005555,0.023617
SAM,-0.064611,-0.036705,0.007705,-0.092002
SAM,-0.037154,0.171238,0.007458,0.136133
SAM,-0.027645,0.046717,0.007726,0.025643
SAM,-0.022592,0.036627,0.005647,0.018929
SAM,-0.066542,-0.102069,0.006868,-0.156062
SAM,-0.026949,-0.012206,0.00748,-0.031637
SAM,-0.030232,0.158511,0.005433,0.129591
SAM,-0.027891,-0.025061,0.007032,-0.045588
SAM,-0.012668,-0.073149,0.007986,-0.077582
SAM,0.066421,-0.000277,0.006258,0.072797
SAM,-0.17337,-0.039209,0.007959,-0.199459
SAM,-0.039289,0.026339,0.006927,-0.007154
SAM,-0.015381,-0.01561,0.006997,-0.023969
SAM,-0.05662,-0.071195,0.007884,-0.116876
SAM,-0.025556,-0.004994,0.006217,-0.024395
SAM,-0.123378,-0.046934,0.005607,-0.159837
SAM,-0.032337,0.162483,0.006634,0.132355
SAM,-0.146034,-0.150512,0.007228,-0.269322
SAM,-0.002587,0.02175,0.00725,0.026494
SAM,-0.175474,-0.188424,0.007216,-0.326006
SAM,-0.027645,-0.072452,0.006156,-0.092542
SAM,-0.073547,-0.005799,0.007375,-0.072126
SAM,-0.026949,-0.087702,0.006795,-0.106256
SAM,-0.033564,-0.127951,0.008427,-0.150118
SAM,0.004722,0.013637,0.007789,0.026356
SAM,-0.047561,0.060076,0.007419,0.017148
SAM,-0.048405,-0.034357,0.006719,-0.074925
SAM,-0.044515,-0.036289,0.006544,-0.073163
SAM,-0.050451,-0.099818,0.006673,-0.139529
SAM,-0.125445,-0.102135,0.007175,-0.209133
SAM,-0.050174,-0.049862,0.007879,-0.090424
SAM,-0.028571,0.076037,0.005434,0.050973
SAM,0.020936,0.160747,0.006399,0.192631
SAM,-0.06369,-0.030681,0.008147,-0.085023
SAM,-0.117899,0.075317,0.00633,-0.045458
SAM,-0.106383,-0.070521,0.006054,-0.164374
SAM,-0.026949,-0.01141,0.007968,-0.030387
SAM,-0.150138,-0.105311,0.007402,-0.23401
SAM,-0.05662,0.290788,0.007121,0.226374
SAM,-0.094247,-0.003493,0.00751,-0.090633
SAM,-0.10828,-0.045682,0.006616,-0.143386
SAM,-0.00767,-0.13596,0.006934,-0.136641
SAM,-0.05575,-0.024259,0.006993,-0.072214
SAM,-0.075948,0.001224,0.006575,-0.068735
SAM,-0.04768,0.044633,0.006569,0.00136
SAM,-0.03495,0.067604,0.006022,0.036495
SAM,-0.101556,0.155163,0.0064,0.044491
SAM,-0.08695,-0.026835,0.006461,-0.105711
SAM,0.066421,-0.015174,0.005032,0.055524
SAM,-0.02982,-0.03111,0.007502,-0.052951
SAM,-0.037154,-0.146042,0.007167,-0.171877
SAM,-0.144467,0.124977,0.008383,-0.029477
SAM,-0.094247,-0.069878,0.005582,-0.152837
SAM,-0.033092,0.05538,0.005886,0.026462
SAM,-0.012449,-0.035485,0.007835,-0.040029
SAM,-0.032337,-0.084481,0.00569,-0.109045
SAM,-0.015381,0.076858,0.006852,0.06756
SAM,-0.175474,-0.052494,0.006654,-0.213558
SAM,-0.089261,0.015466,0.008431,-0.067378
SAM,-0.05575,-0.056534,0.006846,-0.103033
SAM,-0.109538,0.010463,0.006843,-0.094064
SAM,-0.075948,-0.061003,0.007118,-0.126141
SAM,0.00676,0.039536,0.006037,0.052881
SAM,-0.050174,0.041552,0.006389,-0.004386
SAM,-0.04768,0.033718,0.005799,-0.009861
SAM,-0.117899,0.029245,0.007547,-0.08525
SAM,-0.049095,0.193847,0.00759,0.143851
SAM,-0.00237,-0.085021,0.006053,-0.081664
SAM,-0.070033,0.100678,0.006641,0.030392
SAM,-0.064011,0.15008,0.007058,0.084059
SAM,0.084014,0.062216,0.005513,0.157805
SAM,-0.11141,-0.025077,0.007433,-0.127255
SAM,-0.118554,-0.080004,0.005829,-0.184346
SAM,-0.027891,-0.030269,0.005207,-0.052407
SAM,-0.071798,0.04652,0.006958,-0.021859
SAM,-0.012449,-0.050058,0.007504,-0.054844
SAM,-0.039289,-0.025641,0.007798,-0.056623
SAM,0.008402,0.064448,0.00736,0.081292
SAM,-0.065932,0.039535,0.006217,-0.022966
SAM,-0.117899,-0.042487,0.008748,-0.147989
SAM,-0.135385,0.035834,0.006963,-0.098166
SAM,-0.027645,0.067313,0.005973,0.044006
SAM,-0.038415,0.086086,0.007867,0.05258
SAM,-0.026949,0.000443,0.00719,-0.019519
SAM,-0.01633,-0.008793,0.008932,-0.016271
SAM,-0.015152,0.01741,0.008447,0.010458
SAM,-0.107166,-0.060654,0.006503,-0.155866
SAM,-0.106383,0.037877,0.005679,-0.067268
SAM,-0.039289,-0.164679,0.006401,-0.192361
SAM,-0.0405,0.021082,0.004585,-0.015779
SAM,-0.017076,-0.045993,0.006935,-0.05578
SAM,-0.118554,-0.16468,0.007882,-0.257907
SAM,-0.082474,0.042725,0.006924,-0.036648
SAM,-0.053663,0.177332,0.007379,0.122374
SAM,-0.125471,-0.104394,0.007672,-0.210758
SAM,-0.047007,0.042828,0.008394,0.00215
SAM,-0.08695,0.172751,0.007066,0.078346
SAM,-0.075948,0.07187,0.006682,-0.002918
SAM,0.106251,0.032813,0.006329,0.149782
SAM,-0.106383,0.040035,0.008503,-0.062704
SAM,-0.04768,-0.057712,0.006309,-0.096979
SAM,-0.038825,0.117299,0.008752,0.083319
SAM,-0.09758,-0.003147,0.00657,-0.09451
SAM,-0.094064,0.124064,0.006064,0.024506
SAM,-0.094247,0.043217,0.007328,-0.048179
SAM,0.000962,-0.116152,0.007146,-0.108979
SAM,-0.00767,0.014505,0.005241,0.012
SAM,-0.021919,-0.148821,0.007598,-0.161152
SAM,-0.146034,0.041906,0.005059,-0.105746
SAM,-0.028571,-0.046409,0.008714,-0.065582
SAM,-0.132492,0.115017,0.00548,-0.027413
SAM,-0.047402,-0.118443,0.007195,-0.154189
SAM,-0.101556,-0.051004,0.007442,-0.141035
SAM,-0.032723,0.11655,0.007863,0.088506
SAM,-0.047402,-0.015204,0.005465,-0.056759
SAM,-0.065932,0.056784,0.007422,-0.005565
SAM,-0.144467,0.02186,0.00583,-0.120668
SAM,-0.158656,-0.064491,0.007151,-0.207288
SAM,0.046176,0.045306,0.004963,0.099003
